DA_losses,DB_losses,D_losses,G_losses,gA_d_losses_synthetic,gA_losses_reconstructed,gB_d_losses_synthetic,gB_losses_reconstructed,reconstruction_losses
0.3256513625383377,0.36780618131160736,0.6934575438499451,"[5.741137504577637, 0.21851733326911926, 0.23478993773460388, 0.5998401045799255, 0.6082249879837036]",0.21851733326911926,0.5998401045799255,0.23478993773460388,0.6082249879837036,1.2080650925636292
0.33084892481565475,0.3847930282354355,0.7156419530510902,"[5.578395843505859, 0.2080904096364975, 0.23018401861190796, 0.6184319853782654, 0.5772198438644409]",0.2080904096364975,0.6184319853782654,0.23018401861190796,0.5772198438644409,1.1956518292427063
0.3132444843649864,0.31220753490924835,0.6254520192742348,"[5.340343475341797, 0.19507628679275513, 0.2235824167728424, 0.6013349890708923, 0.5524213314056396]",0.19507628679275513,0.6013349890708923,0.2235824167728424,0.5524213314056396,1.153756320476532
0.28084563463926315,0.26834066212177277,0.5491862967610359,"[5.058431625366211, 0.18271404504776, 0.21552619338035583, 0.5302672386169434, 0.5457617044448853]",0.18271404504776,0.5302672386169434,0.21552619338035583,0.5457617044448853,1.0760289430618286
0.29800382256507874,0.26971057057380676,0.5677143931388855,"[5.026551246643066, 0.17446592450141907, 0.21656222641468048, 0.5670512318611145, 0.5492185950279236]",0.17446592450141907,0.5670512318611145,0.21656222641468048,0.5492185950279236,1.116269826889038
0.3023492693901062,0.27516283094882965,0.5775121003389359,"[4.9384260177612305, 0.16498024761676788, 0.21592405438423157, 0.5889903903007507, 0.5403925180435181]",0.16498024761676788,0.5889903903007507,0.21592405438423157,0.5403925180435181,1.1293829083442688
0.3143312931060791,0.3103392422199249,0.624670535326004,"[4.904551029205322, 0.169215127825737, 0.20367379486560822, 0.5750401020050049, 0.60062175989151]",0.169215127825737,0.5750401020050049,0.20367379486560822,0.60062175989151,1.175661861896515
0.272980771958828,0.2838708311319351,0.5568516030907631,"[4.681091785430908, 0.16245341300964355, 0.19531026482582092, 0.5310298204421997, 0.5724253058433533]",0.16245341300964355,0.5310298204421997,0.19531026482582092,0.5724253058433533,1.103455126285553
0.2984667494893074,0.32464776933193207,0.6231145188212395,"[4.6828413009643555, 0.15600669384002686, 0.20170485973358154, 0.5829896330833435, 0.5227364301681519]",0.15600669384002686,0.5829896330833435,0.20170485973358154,0.5227364301681519,1.1057260632514954
0.2773082107305527,0.2913934588432312,0.5687016695737839,"[4.5456132888793945, 0.1537265181541443, 0.19197793304920197, 0.5354864597320557, 0.5530825257301331]",0.1537265181541443,0.5354864597320557,0.19197793304920197,0.5530825257301331,1.0885689854621887
0.2873191088438034,0.326007679104805,0.6133267879486084,"[4.377990245819092, 0.14382484555244446, 0.1906648576259613, 0.5245589017868042, 0.50853431224823]",0.14382484555244446,0.5245589017868042,0.1906648576259613,0.50853431224823,1.0330932140350342
0.3039723187685013,0.3274109661579132,0.6313832849264145,"[4.5138020515441895, 0.14944332838058472, 0.18676358461380005, 0.5965251326560974, 0.5552080273628235]",0.14944332838058472,0.5965251326560974,0.18676358461380005,0.5552080273628235,1.151733160018921
0.2762739136815071,0.34271952509880066,0.6189934387803078,"[4.391348838806152, 0.1459297239780426, 0.182400643825531, 0.518380880355835, 0.5896642804145813]",0.1459297239780426,0.518380880355835,0.182400643825531,0.5896642804145813,1.1080451607704163
0.2959808111190796,0.35412248969078064,0.6501033008098602,"[4.343024730682373, 0.1430138647556305, 0.1798200160264969, 0.5815102458000183, 0.5331756472587585]",0.1430138647556305,0.5815102458000183,0.1798200160264969,0.5331756472587585,1.1146858930587769
0.2817769944667816,0.39415784180164337,0.675934836268425,"[4.278411865234375, 0.14348435401916504, 0.17552590370178223, 0.5818836688995361, 0.5064258575439453]",0.14348435401916504,0.5818836688995361,0.17552590370178223,0.5064258575439453,1.0883095264434814
